,Date,AQI
0,2015-03-21,91.0
1,2015-03-22,120.0
2,2015-03-23,154.0
3,2015-03-24,119.0
5,2015-03-26,132.0
6,2015-03-27,123.0
7,2015-03-28,152.0
8,2015-03-29,143.0
9,2015-03-30,80.0
10,2015-03-31,90.0
11,2015-04-01,151.0
12,2015-04-02,123.0
14,2015-04-04,101.0
15,2015-04-05,160.0
16,2015-04-06,71.0
17,2015-04-07,76.0
18,2015-04-08,153.0
19,2015-04-09,80.0
20,2015-04-10,129.0
21,2015-04-11,107.0
22,2015-04-12,122.0
23,2015-04-13,85.0
24,2015-04-14,62.0
26,2015-04-16,152.0
28,2015-04-18,170.0
29,2015-04-19,135.0
30,2015-04-20,118.0
31,2015-04-21,127.0
32,2015-04-22,47.0
33,2015-04-23,44.0
34,2015-04-24,67.0
35,2015-04-25,44.0
36,2015-04-26,82.0
37,2015-04-27,156.0
38,2015-04-28,96.0
39,2015-04-29,72.0
40,2015-04-30,117.0
41,2015-05-01,67.0
43,2015-05-03,64.0
44,2015-05-04,162.0
45,2015-05-05,75.0
46,2015-05-06,141.0
47,2015-05-07,70.0
48,2015-05-08,142.0
49,2015-05-09,140.0
50,2015-05-10,71.0
51,2015-05-11,66.0
52,2015-05-12,56.0
53,2015-05-13,45.0
54,2015-05-14,61.0
55,2015-05-15,70.0
56,2015-05-16,59.0
57,2015-05-17,125.0
58,2015-05-18,106.0
59,2015-05-19,84.0
60,2015-05-20,57.0
61,2015-05-21,56.0
62,2015-05-22,140.0
63,2015-05-23,156.0
64,2015-05-24,156.0
65,2015-05-25,111.0
66,2015-05-26,158.0
67,2015-05-27,93.0
68,2015-05-28,97.0
69,2015-05-29,94.0
70,2015-05-30,147.0
71,2015-05-31,100.0
72,2015-06-01,101.0
73,2015-06-02,84.0
74,2015-06-03,84.0
75,2015-06-04,74.0
76,2015-06-05,130.0
77,2015-06-06,74.0
78,2015-06-07,74.0
79,2015-06-08,162.0
80,2015-06-09,55.0
81,2015-06-10,72.0
82,2015-06-11,66.0
83,2015-06-12,81.0
84,2015-06-13,94.0
85,2015-06-14,128.0
86,2015-06-15,86.0
87,2015-06-16,136.0
88,2015-06-17,67.0
89,2015-06-18,45.0
90,2015-06-19,70.0
91,2015-06-20,93.0
92,2015-06-21,166.0
94,2015-06-23,107.0
95,2015-06-24,140.0
96,2015-06-25,107.0
97,2015-06-26,70.0
98,2015-06-27,165.0
99,2015-06-28,160.0
101,2015-06-30,166.0
103,2015-07-02,162.0
105,2015-07-04,141.0
108,2015-07-07,136.0
109,2015-07-08,139.0
110,2015-07-09,161.0
111,2015-07-10,160.0
112,2015-07-11,127.0
113,2015-07-12,71.0
118,2015-07-17,55.0
119,2015-07-18,156.0
126,2015-07-25,51.0
127,2015-07-26,49.0
128,2015-07-27,157.0
129,2015-07-28,128.0
130,2015-07-29,66.0
131,2015-07-30,105.0
132,2015-07-31,49.0
133,2015-08-01,97.0
135,2015-08-03,139.0
136,2015-08-04,95.0
137,2015-08-05,106.0
138,2015-08-06,89.0
139,2015-08-07,44.0
140,2015-08-08,97.0
142,2015-08-10,83.0
143,2015-08-11,129.0
144,2015-08-12,128.0
152,2015-08-20,92.0
153,2015-08-21,100.0
154,2015-08-22,97.0
155,2015-08-23,59.0
156,2015-08-24,96.0
157,2015-08-25,123.0
158,2015-08-26,77.0
159,2015-08-27,57.0
160,2015-08-28,63.0
161,2015-08-29,174.0
162,2015-08-30,121.0
163,2015-08-31,92.0
164,2015-09-01,81.0
165,2015-09-02,43.0
166,2015-09-03,52.0
167,2015-09-04,72.0
168,2015-09-05,73.0
171,2015-09-08,93.0
172,2015-09-09,60.0
173,2015-09-10,65.0
174,2015-09-11,60.0
175,2015-09-12,167.0
176,2015-09-13,141.0
177,2015-09-14,175.0
178,2015-09-15,41.0
179,2015-09-16,81.0
180,2015-09-17,52.0
181,2015-09-18,31.0
182,2015-09-19,144.0
183,2015-09-20,64.0
184,2015-09-21,51.0
185,2015-09-22,82.0
186,2015-09-23,85.0
187,2015-09-24,89.0
188,2015-09-25,139.0
189,2015-09-26,157.0
190,2015-09-27,155.0
191,2015-09-28,94.0
192,2015-09-29,100.0
193,2015-09-30,117.0
194,2015-10-01,136.0
195,2015-10-02,96.0
196,2015-10-03,101.0
197,2015-10-04,128.0
198,2015-10-05,92.0
199,2015-10-06,98.0
200,2015-10-07,102.0
201,2015-10-08,69.0
202,2015-10-09,54.0
203,2015-10-10,101.0
204,2015-10-11,110.0
205,2015-10-12,54.0
206,2015-10-13,77.0
207,2015-10-14,144.0
208,2015-10-15,90.0
209,2015-10-16,98.0
210,2015-10-17,173.0
211,2015-10-18,140.0
212,2015-10-19,76.0
213,2015-10-20,164.0
214,2015-10-21,88.0
215,2015-10-22,97.0
216,2015-10-23,110.0
217,2015-10-24,89.0
218,2015-10-25,81.0
219,2015-10-26,74.0
220,2015-10-27,157.0
221,2015-10-28,95.0
222,2015-10-29,70.0
223,2015-10-30,110.0
225,2015-11-01,49.0
226,2015-11-02,54.0
227,2015-11-03,58.0
228,2015-11-04,65.0
229,2015-11-05,70.0
230,2015-11-06,67.0
231,2015-11-07,60.0
232,2015-11-08,56.0
233,2015-11-09,59.0
234,2015-11-10,51.0
235,2015-11-11,49.0
236,2015-11-12,146.0
237,2015-11-13,61.0
238,2015-11-14,130.0
239,2015-11-15,99.0
240,2015-11-16,91.0
241,2015-11-17,116.0
242,2015-11-18,126.0
243,2015-11-19,103.0
244,2015-11-20,74.0
245,2015-11-21,66.0
246,2015-11-22,61.0
247,2015-11-23,75.0
248,2015-11-24,85.0
249,2015-11-25,141.0
250,2015-11-26,90.0
251,2015-11-27,126.0
252,2015-11-28,147.0
